ProductionDate,Product,BatchNumber,UnitsProduced,Shift,Supervisor,ProductCode,ManufacturingSite,ProductionLine,UnitsRejected,YieldPercentage,StartTime,EndTime,RunTimeHours,MachineID,OperatorName,QCStatus,TemperatureCelsius,HumidityPercent,RawMaterialsUsed,PackagingType,Remarks,MaintenanceRequired,DeviationFlag,ApprovedBy,Production_Efficiency (%),Batch_Status,Machine_Downtime_Minutes,Energy_Consumed_kWh,Shift_Duration_Hours,Temperature_Fahrenheit,Quality_Score,Waste_Percentage,Resource_Utilization (%),Compliance_Check,Reason_For_Machine_Downtime,Downtime_Category,Preventive_Maintenance_Status,Operator_Experience_Level,Rework_Units,Audit_Findings,Downtime_Category,Repair_Time_Minutes
03-12-2024,Amoxicillin,BATCH0020,2249,Night,Emily Davis,AMX-003,Plant B,Line 2,47,97.91,03-12-2024 07:00,03-12-2024 11:00,4,MC-001,Bob,Pass,24.8,53,6,Bottle,,Yes,No,Dr. Singh,97.9101823,Approved,2,156.03,12,76.64,70,2.089817697,75.87,Pass,Mechanical Failure,Unscheduled,No,Senior,126,Minor Deviation,Electrical,83
03-12-2024,Ibuprofen,BATCH0021,1950,Night,Robert Lee,IBU-002,Plant A,Line 2,141,92.77,03-12-2024 06:00,03-12-2024 10:00,4,MC-003,Alice,Pass,22.4,47.7,6,Blister Pack,,No,Yes,Dr. Zhang,92.76923077,Approved,21,159.35,8,72.32,83,7.230769231,62.03,Fail,Mechanical Failure,Unscheduled,No,Junior,24,Major Deviation,Human Error,18
03-12-2024,Ciprofloxacin,BATCH0022,2658,Morning,Emily Davis,CPF-004,Plant B,Line 2,70,97.37,03-12-2024 07:00,03-12-2024 12:00,5,MC-002,Diana,Pending,24.6,53.8,3,Blister Pack,,Yes,Yes,Dr. Kapoor,97.36644093,Pending,52,165.69,8,76.28,90,2.633559067,95.46,Pass,Electrical Fault,Unscheduled,Yes,Senior,97,Major Deviation,Mechanical,34
05-12-2024,Metformin,BATCH0023,2110,Morning,Emily Davis,MTF-005,Plant A,Line 3,264,87.49,05-12-2024 06:00,05-12-2024 08:00,2,MC-004,Alice,Pending,24.5,45.6,7,Bottle,,No,Yes,Dr. Singh,87.48815166,Pending,1,61.11,12,76.1,85,12.51184834,61.1,Fail,Operator Error,Unscheduled,No,Senior,160,Not Audited,Mechanical,119
06-12-2024,Metformin,BATCH0024,2389,Evening,Robert Lee,MTF-005,Plant B,Line 2,18,99.25,06-12-2024 14:00,06-12-2024 19:00,5,MC-004,Bob,Pending,20.6,55.8,5,Blister Pack,,Yes,Yes,Dr. Zhang,99.24654667,Pending,23,103.77,10,69.08,89,0.753453328,83.15,Fail,Operator Error,Unscheduled,No,Mid,23,Major Deviation,Electrical,82
06-12-2024,Amoxicillin,BATCH0025,3361,Morning,Emily Davis,AMX-003,Plant A,Line 1,204,93.93,06-12-2024 14:00,06-12-2024 18:00,4,MC-001,Diana,Pending,24.7,55.3,9,Bottle,,Yes,Yes,Dr. Singh,93.93037786,Pending,43,67.38,9,76.46,93,6.069622136,77.54,Pass,Electrical Fault,Unscheduled,Yes,Senior,37,Minor Deviation,Electrical,119
07-12-2024,Metformin,BATCH0026,2652,Morning,Emily Davis,MTF-005,Plant B,Line 2,180,93.21,07-12-2024 13:00,07-12-2024 16:00,3,MC-004,Alice,Pass,20,47.3,8,Bottle,,No,Yes,Dr. Allen,93.21266968,Approved,29,179.47,12,68,77,6.787330317,86.88,Pass,Mechanical Failure,Unscheduled,Yes,Junior,136,Compliant,Human Error,114
08-12-2024,Amoxicillin,BATCH0027,1351,Morning,Robert Lee,AMX-003,Plant B,Line 1,268,80.16,08-12-2024 14:00,08-12-2024 18:00,4,MC-001,Diana,Pending,21.5,50.6,8,Blister Pack,,No,Yes,Dr. Allen,80.16284234,Pending,37,143.49,8,70.7,76,19.83715766,73.13,Fail,Scheduled Maintenance,Scheduled,No,Senior,140,Minor Deviation,Mechanical,59
08-12-2024,Ibuprofen,BATCH0028,4311,Evening,Robert Lee,IBU-002,Plant B,Line 1,25,99.42,08-12-2024 12:00,08-12-2024 14:00,2,MC-003,Bob,Pass,21.9,45.5,6,Strip,,Yes,No,Dr. Singh,99.42008815,Approved,1,99.63,10,71.42,72,0.579911853,66.2,Pass,Operator Error,Unscheduled,Yes,Junior,141,Not Audited,Operational,68
10-12-2024,Metformin,BATCH0029,3908,Night,John Doe,MTF-005,Plant A,Line 2,115,97.06,10-12-2024 09:00,10-12-2024 15:00,6,MC-004,Diana,Pass,22,56,4,Bottle,,No,Yes,Dr. Kapoor,97.05731832,Approved,59,59.53,12,71.6,86,2.942681679,99.27,Pass,Electrical Fault,Unscheduled,No,Mid,71,Major Deviation,Material,74
10-12-2024,Amoxicillin,BATCH0030,2999,Night,Jane Smith,AMX-003,Plant A,Line 2,11,99.63,10-12-2024 07:00,10-12-2024 12:00,5,MC-001,Alice,Fail,20.9,42.6,4,Bottle,,Yes,Yes,Dr. Singh,99.63321107,Pending,20,96.65,12,69.62,70,0.36678893,93.56,Pass,Mechanical Failure,Unscheduled,No,Junior,200,Minor Deviation,Material,34
11-12-2024,Ciprofloxacin,BATCH0031,4924,Morning,Robert Lee,CPF-004,Plant A,Line 3,69,98.6,11-12-2024 06:00,11-12-2024 12:00,6,MC-002,Charlie,Pending,21.4,59.4,3,Blister Pack,,No,Yes,Dr. Kapoor,98.59870024,Pending,32,98.78,10,70.52,85,1.401299756,94.42,Fail,Material Shortage,Unscheduled,No,Junior,62,Minor Deviation,Operational,34
13-12-2024,Paracetamol,BATCH0032,3421,Morning,John Doe,PRC-001,Plant B,Line 2,298,91.29,13-12-2024 14:00,13-12-2024 20:00,6,MC-005,Alice,Fail,21.3,46.3,6,Blister Pack,,Yes,No,Dr. Allen,91.28909676,Pending,11,159.44,12,70.34,81,8.710903245,70.01,Fail,Scheduled Maintenance,Scheduled,No,Senior,62,Compliant,Mechanical,40
17-12-2024,Metformin,BATCH0033,1146,Night,Robert Lee,MTF-005,Plant A,Line 3,44,96.16,17-12-2024 08:00,17-12-2024 12:00,4,MC-004,Diana,Pass,20.8,58.5,6,Bottle,,No,No,Dr. Singh,96.16055846,Approved,57,145.63,10,69.44,96,3.839441536,61.55,Pass,Electrical Fault,Unscheduled,No,Senior,35,Major Deviation,Material,108
22-12-2024,Amoxicillin,BATCH0034,4827,Night,John Doe,AMX-003,Plant A,Line 3,217,95.5,22-12-2024 12:00,22-12-2024 16:00,4,MC-001,Diana,Pass,23.8,52.1,8,Strip,,Yes,No,Dr. Kapoor,95.50445411,Approved,21,183.08,9,74.84,88,4.495545888,72.13,Fail,Scheduled Maintenance,Scheduled,Yes,Mid,3,Compliant,Operational,107
23-12-2024,Amoxicillin,BATCH0035,1357,Night,John Doe,AMX-003,Plant A,Line 3,291,78.56,23-12-2024 13:00,23-12-2024 18:00,5,MC-001,Alice,Pending,21.4,51.9,9,Bottle,,No,Yes,Dr. Allen,78.55563744,Pending,60,120.83,10,70.52,91,21.44436256,81.48,Fail,Scheduled Maintenance,Scheduled,Yes,Mid,58,Major Deviation,Material,97
25-12-2024,Paracetamol,BATCH0036,1636,Evening,Emily Davis,PRC-001,Plant B,Line 1,96,94.13,25-12-2024 08:00,25-12-2024 10:00,2,MC-005,Diana,Pending,20.9,56.1,5,Bottle,,Yes,Yes,Dr. Allen,94.13202934,Pending,43,67.94,10,69.62,92,5.86797066,73.07,Fail,Mechanical Failure,Unscheduled,No,Junior,29,Major Deviation,Mechanical,63
30-12-2024,Ibuprofen,BATCH0037,1591,Morning,John Doe,IBU-002,Plant A,Line 3,267,83.22,30-12-2024 11:00,30-12-2024 14:00,3,MC-003,Charlie,Pending,23.2,59.5,5,Blister Pack,,Yes,Yes,Dr. Singh,83.21810182,Pending,24,156.99,10,73.76,91,16.78189818,93.11,Fail,Operator Error,Unscheduled,Yes,Senior,49,Major Deviation,Electrical,27
04-01-2025,Amoxicillin,BATCH0038,1187,Night,Emily Davis,AMX-003,Plant A,Line 2,106,91.07,04-01-2025 08:00,04-01-2025 13:00,5,MC-001,Charlie,Pass,23.9,48.1,8,Blister Pack,,No,Yes,Dr. Allen,91.06992418,Approved,48,164.12,12,75.02,83,8.930075821,70.86,Fail,Electrical Fault,Unscheduled,No,Junior,158,Major Deviation,Human Error,16
05-01-2025,Ibuprofen,BATCH0039,2178,Night,Emily Davis,IBU-002,Plant B,Line 3,57,97.38,05-01-2025 09:00,05-01-2025 15:00,6,MC-003,Diana,Pending,24.9,59.2,9,Blister Pack,,No,Yes,Dr. Kapoor,97.38292011,Pending,26,134.19,12,76.82,99,2.61707989,98.61,Pass,Electrical Fault,Unscheduled,Yes,Senior,95,Major Deviation,Operational,11
08-01-2025,Ibuprofen,BATCH0040,4355,Night,Jane Smith,IBU-002,Plant B,Line 3,17,99.61,08-01-2025 14:00,08-01-2025 18:00,4,MC-003,Charlie,Pass,21.6,53.7,5,Strip,,Yes,No,Dr. Allen,99.60964409,Approved,58,165.65,10,70.88,75,0.390355913,78.29,Pass,Material Shortage,Unscheduled,No,Junior,18,Major Deviation,Operational,69
10-01-2025,Amoxicillin,BATCH0041,2301,Night,Emily Davis,AMX-003,Plant B,Line 1,241,89.53,10-01-2025 06:00,10-01-2025 12:00,6,MC-001,Charlie,Fail,22.9,45.4,6,Blister Pack,,No,No,Dr. Kapoor,89.52629292,Pending,41,124.07,12,73.22,75,10.47370708,93.68,Pass,Scheduled Maintenance,Scheduled,No,Mid,81,Minor Deviation,Electrical,32
11-01-2025,Ibuprofen,BATCH0042,4022,Night,Robert Lee,IBU-002,Plant A,Line 1,238,94.08,11-01-2025 09:00,11-01-2025 11:00,2,MC-003,Charlie,Fail,22.4,48.1,5,Strip,,No,No,Dr. Kapoor,94.082546,Pending,27,128.41,8,72.32,82,5.917454003,67.78,Fail,Mechanical Failure,Unscheduled,Yes,Senior,3,Not Audited,Electrical,64
13-01-2025,Paracetamol,BATCH0043,4311,Evening,Robert Lee,PRC-001,Plant B,Line 3,250,94.2,13-01-2025 11:00,13-01-2025 15:00,4,MC-005,Diana,Fail,24.4,59.2,9,Strip,,Yes,Yes,Dr. Zhang,94.20088147,Pending,59,114.13,8,75.92,88,5.799118534,76.45,Fail,Scheduled Maintenance,Scheduled,No,Mid,30,Compliant,Mechanical,94
14-01-2025,Ibuprofen,BATCH0044,3776,Night,John Doe,IBU-002,Plant B,Line 3,217,94.25,14-01-2025 07:00,14-01-2025 10:00,3,MC-003,Charlie,Pending,22.3,50,9,Bottle,,Yes,No,Dr. Allen,94.25317797,Pending,15,53.81,12,72.14,91,5.746822034,87.98,Pass,Mechanical Failure,Unscheduled,No,Mid,0,Compliant,Mechanical,88
18-01-2025,Metformin,BATCH0045,4468,Night,Jane Smith,MTF-005,Plant B,Line 3,168,96.24,18-01-2025 07:00,18-01-2025 13:00,6,MC-004,Alice,Pending,23.1,50.4,3,Blister Pack,,No,Yes,Dr. Singh,96.23992838,Pending,14,66.18,12,73.58,77,3.76007162,65.53,Fail,Scheduled Maintenance,Scheduled,No,Mid,173,Minor Deviation,Operational,27
20-01-2025,Paracetamol,BATCH0046,3003,Evening,Robert Lee,PRC-001,Plant A,Line 3,203,93.24,20-01-2025 07:00,20-01-2025 09:00,2,MC-005,Alice,Fail,23.8,49.5,3,Bottle,,No,No,Dr. Kapoor,93.24009324,Pending,46,54.71,10,74.84,96,6.75990676,65.31,Pass,Scheduled Maintenance,Scheduled,No,Senior,95,Minor Deviation,Mechanical,119
20-01-2025,Amoxicillin,BATCH0047,1268,Evening,Jane Smith,AMX-003,Plant B,Line 1,131,89.67,20-01-2025 13:00,20-01-2025 16:00,3,MC-001,Bob,Fail,24.9,48.6,9,Strip,,No,No,Dr. Allen,89.66876972,Pending,50,145.46,9,76.82,96,10.33123028,98.78,Pass,Operator Error,Unscheduled,No,Junior,53,Major Deviation,Operational,26
25-01-2025,Paracetamol,BATCH0048,1762,Evening,Robert Lee,PRC-001,Plant B,Line 2,97,94.49,25-01-2025 10:00,25-01-2025 16:00,6,MC-005,Alice,Pending,21.4,54.9,6,Bottle,,Yes,No,Dr. Allen,94.49489217,Pending,43,97.15,12,70.52,71,5.505107832,88.58,Pass,Material Shortage,Unscheduled,Yes,Mid,91,Compliant,Electrical,85
25-01-2025,Paracetamol,BATCH0049,3635,Night,Robert Lee,PRC-001,Plant A,Line 3,68,98.13,25-01-2025 06:00,25-01-2025 08:00,2,MC-005,Bob,Pending,21.6,52.2,7,Blister Pack,,Yes,No,Dr. Allen,98.12929849,Pending,54,126.29,8,70.88,90,1.870701513,61.64,Fail,Operator Error,Unscheduled,Yes,Mid,118,Compliant,Electrical,52
27-01-2025,Paracetamol,BATCH0050,1714,Evening,Robert Lee,PRC-001,Plant B,Line 2,238,86.11,27-01-2025 12:00,27-01-2025 18:00,6,MC-005,Bob,Pass,22.5,50.2,4,Blister Pack,,Yes,No,Dr. Allen,86.11435239,Approved,51,186.13,10,72.5,99,13.88564761,75.95,Fail,Operator Error,Unscheduled,No,Senior,130,Major Deviation,Operational,57
31-01-2025,Ciprofloxacin,BATCH0051,3943,Night,Jane Smith,CPF-004,Plant B,Line 3,282,92.85,31-01-2025 14:00,31-01-2025 17:00,3,MC-002,Charlie,Pending,21.4,54.7,8,Strip,,Yes,Yes,Dr. Allen,92.84808521,Pending,56,87.39,12,70.52,70,7.151914786,77.34,Pass,Operator Error,Unscheduled,Yes,Mid,121,Not Audited,Material,42
31-01-2025,Amoxicillin,BATCH0052,4662,Evening,Emily Davis,AMX-003,Plant B,Line 3,244,94.77,31-01-2025 06:00,31-01-2025 12:00,6,MC-001,Charlie,Pending,21.9,55.6,5,Strip,,No,No,Dr. Singh,94.76619477,Pending,2,111.56,8,71.42,97,5.233805234,89.76,Pass,Electrical Fault,Unscheduled,Yes,Mid,6,Compliant,Electrical,29
31-01-2025,Amoxicillin,BATCH0053,4707,Evening,Emily Davis,AMX-003,Plant B,Line 2,271,94.24,31-01-2025 12:00,31-01-2025 14:00,2,MC-001,Bob,Fail,22.2,52.4,7,Strip,,Yes,No,Dr. Allen,94.24261738,Pending,36,163.33,8,71.96,84,5.757382622,70.03,Pass,Electrical Fault,Unscheduled,Yes,Senior,16,Major Deviation,Electrical,92
01-02-2025,Paracetamol,BATCH0054,1202,Night,Jane Smith,PRC-001,Plant A,Line 2,203,83.11,01-02-2025 09:00,01-02-2025 15:00,6,MC-005,Bob,Fail,21.7,48.6,3,Bottle,,Yes,Yes,Dr. Allen,83.11148087,Pending,50,84.32,9,71.06,70,16.88851913,67.37,Pass,Mechanical Failure,Unscheduled,Yes,Junior,52,Major Deviation,Material,70
04-02-2025,Ciprofloxacin,BATCH0055,1660,Morning,John Doe,CPF-004,Plant A,Line 2,235,85.84,04-02-2025 06:00,04-02-2025 10:00,4,MC-002,Diana,Pending,24.6,54.8,6,Strip,,No,No,Dr. Kapoor,85.84337349,Pending,6,61.55,10,76.28,74,14.15662651,63.23,Fail,Operator Error,Unscheduled,No,Senior,171,Not Audited,Material,59
05-02-2025,Paracetamol,BATCH0056,2161,Evening,John Doe,PRC-001,Plant B,Line 1,41,98.1,05-02-2025 09:00,05-02-2025 12:00,3,MC-005,Alice,Pending,20.4,53,5,Bottle,,Yes,No,Dr. Zhang,98.10273022,Pending,20,93.46,10,68.72,97,1.897269783,77.13,Fail,Electrical Fault,Unscheduled,No,Junior,37,Not Audited,Electrical,77
08-02-2025,Paracetamol,BATCH0057,4870,Evening,Emily Davis,PRC-001,Plant A,Line 1,212,95.65,08-02-2025 06:00,08-02-2025 12:00,6,MC-005,Alice,Pending,22,53.1,5,Blister Pack,,Yes,No,Dr. Singh,95.64681725,Pending,8,74.18,9,71.6,98,4.353182752,87.54,Pass,Scheduled Maintenance,Scheduled,No,Mid,40,Minor Deviation,Electrical,111
09-02-2025,Metformin,BATCH0058,3697,Night,Emily Davis,MTF-005,Plant A,Line 1,14,99.62,09-02-2025 12:00,09-02-2025 15:00,3,MC-004,Alice,Fail,21.8,49.8,7,Bottle,,No,No,Dr. Allen,99.62131458,Pending,38,189.45,9,71.24,85,0.378685421,62.33,Pass,Operator Error,Unscheduled,Yes,Junior,91,Not Audited,Electrical,60
11-02-2025,Metformin,BATCH0059,3754,Morning,Jane Smith,MTF-005,Plant A,Line 2,192,94.89,11-02-2025 13:00,11-02-2025 15:00,2,MC-004,Charlie,Fail,24.3,44,9,Blister Pack,,No,Yes,Dr. Singh,94.88545551,Pending,17,171.22,10,75.74,88,5.114544486,96.61,Fail,Electrical Fault,Unscheduled,Yes,Mid,54,Major Deviation,Mechanical,91
12-02-2025,Metformin,BATCH0060,1409,Evening,Jane Smith,MTF-005,Plant A,Line 1,223,84.17,12-02-2025 12:00,12-02-2025 17:00,5,MC-004,Bob,Fail,22.5,54.7,9,Blister Pack,,Yes,No,Dr. Allen,84.17317246,Pending,3,145.01,10,72.5,73,15.82682754,77.69,Fail,Operator Error,Unscheduled,Yes,Senior,170,Minor Deviation,Human Error,60
12-02-2025,Paracetamol,BATCH0061,4414,Evening,Emily Davis,PRC-001,Plant B,Line 1,12,99.73,12-02-2025 14:00,12-02-2025 19:00,5,MC-005,Alice,Pass,21.4,42.3,3,Bottle,,No,No,Dr. Kapoor,99.72813774,Approved,24,180.72,12,70.52,72,0.271862256,69.59,Pass,Electrical Fault,Unscheduled,No,Senior,90,Minor Deviation,Operational,102
12-02-2025,Paracetamol,BATCH0062,4086,Morning,Emily Davis,PRC-001,Plant B,Line 2,47,98.85,12-02-2025 08:00,12-02-2025 14:00,6,MC-005,Diana,Pending,23,46.9,7,Strip,,Yes,No,Dr. Singh,98.84973079,Pending,59,170.55,12,73.4,86,1.150269212,63.75,Pass,Operator Error,Unscheduled,Yes,Junior,200,Compliant,Human Error,89
19-02-2025,Metformin,BATCH0063,2431,Night,Robert Lee,MTF-005,Plant A,Line 2,159,93.46,19-02-2025 13:00,19-02-2025 19:00,6,MC-004,Charlie,Pending,21.1,51.9,5,Bottle,,Yes,Yes,Dr. Singh,93.45948169,Pending,13,77.99,9,69.98,86,6.540518305,67.31,Pass,Electrical Fault,Unscheduled,Yes,Senior,70,Minor Deviation,Electrical,66
22-02-2025,Paracetamol,BATCH0064,3496,Night,Jane Smith,PRC-001,Plant A,Line 2,122,96.51,22-02-2025 10:00,22-02-2025 13:00,3,MC-005,Bob,Fail,20.6,46,3,Bottle,,Yes,No,Dr. Kapoor,96.51029748,Pending,49,183.88,12,69.08,81,3.489702517,97.38,Fail,Operator Error,Unscheduled,Yes,Senior,19,Not Audited,Human Error,23
26-02-2025,Paracetamol,BATCH0065,2885,Evening,Jane Smith,PRC-001,Plant A,Line 2,8,99.72,26-02-2025 07:00,26-02-2025 12:00,5,MC-005,Alice,Fail,22.8,47.7,4,Blister Pack,,Yes,No,Dr. Allen,99.72270364,Pending,57,130.9,8,73.04,97,0.27729636,85.53,Fail,Mechanical Failure,Unscheduled,Yes,Junior,60,Not Audited,Operational,62
02-03-2025,Paracetamol,BATCH0066,1133,Night,Emily Davis,PRC-001,Plant B,Line 2,180,84.11,02-03-2025 09:00,02-03-2025 11:00,2,MC-005,Charlie,Pass,23.4,45.9,5,Strip,,No,Yes,Dr. Singh,84.1129744,Approved,8,171.12,12,74.12,99,15.8870256,80.67,Fail,Mechanical Failure,Unscheduled,No,Senior,87,Major Deviation,Mechanical,36
